timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,heading,db,frequency
16541,-0.22,0.89,0.29,2.68,8.65,4.71,253.1,-368.8,-14.6,302.1,48.9,1781.2
16640,-0.18,1.04,0.18,3.67,8.74,4.79,237.5,-389.7,11.4,302.0,52.3,875.0
16740,-0.05,0.94,0.30,3.14,9.93,5.76,245.3,-392.3,41.7,302.0,53.3,921.9
16840,-0.06,0.93,0.20,3.67,10.33,6.67,253.1,-397.5,46.1,302.1,53.6,906.2
16940,-0.19,1.03,0.22,5.05,9.33,7.69,255.6,-415.8,80.8,302.0,53.1,62.5
17040,-0.03,0.96,0.25,6.37,7.50,8.04,245.3,-405.4,28.7,301.8,53.2,140.6
17140,-0.05,0.92,0.20,7.76,5.45,7.66,219.4,-389.7,93.8,301.3,53.2,109.4
17240,-0.04,0.97,0.22,10.94,4.62,7.03,240.1,-374.0,46.1,301.6,53.4,46.9
17340,-0.05,1.03,0.22,14.99,12.18,7.01,227.2,-408.0,63.4,301.1,53.3,62.5
17440,-0.14,1.12,0.17,10.88,6.35,3.70,235.0,-418.4,89.4,300.8,53.2,46.9
17540,0.03,1.08,0.11,3.70,1.97,2.51,227.2,-394.9,72.1,300.6,53.5,31.2
17640,0.23,0.78,0.10,2.62,5.29,3.85,240.1,-400.1,50.4,300.7,52.8,109.4
17740,-0.12,1.04,0.18,4.39,4.06,3.25,237.5,-405.4,54.7,300.6,52.9,46.9
17840,0.13,0.78,0.20,4.38,5.80,4.75,224.6,-421.0,102.4,300.1,53.3,46.9
17940,0.07,0.99,0.16,3.62,7.48,1.32,245.3,-434.1,124.1,300.0,53.3,46.9
18040,-0.04,1.21,0.24,2.05,10.47,1.56,245.3,-408.0,98.1,300.2,53.9,421.9
18140,0.16,1.12,0.33,-2.36,13.03,3.44,232.4,-426.2,80.8,299.9,52.4,31.2
18240,0.03,0.93,-0.09,-4.18,16.02,3.45,260.8,-421.0,93.8,300.2,52.9,46.9
