timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,heading,db,frequency
33718,0.03,1.01,0.07,-1.34,4.19,-4.96,-57.8,-366.9,32.7,262.4,45.4,859.4
33817,-0.04,0.98,0.13,1.93,6.12,-6.60,-44.1,-364.1,43.4,262.5,52.4,2312.5
33917,-0.05,1.02,-0.00,2.39,7.87,-6.76,-38.6,-378.2,50.5,262.8,40.2,906.2
34017,-0.04,0.93,0.06,2.39,8.70,-6.60,-30.3,-383.8,93.4,263.4,37.3,46.9
34117,0.02,0.98,0.04,2.28,8.72,-6.82,-19.4,-383.8,43.4,264.1,35.4,515.6
34217,-0.01,1.14,0.10,1.43,10.12,-6.99,-38.6,-369.7,96.9,264.1,36.9,62.5
34317,0.00,1.02,0.17,-1.21,11.15,-6.96,-22.1,-364.1,47.0,264.6,35.0,15.6
34417,0.09,1.23,0.03,0.79,14.70,-6.35,-27.6,-366.9,57.7,264.8,38.0,1453.1
34517,0.02,0.77,0.05,3.07,23.60,-5.74,-5.7,-378.2,54.1,265.7,37.5,15.6
34617,-0.01,0.99,-0.01,2.62,21.83,-4.66,-0.2,-381.0,50.5,266.5,38.0,125.0
34717,0.07,0.94,0.01,0.26,24.33,-2.61,8.0,-352.8,68.4,267.5,35.2,31.2
34817,-0.04,0.97,0.19,-3.85,28.09,-2.09,46.4,-358.5,32.7,269.5,37.3,46.9
34917,-0.02,1.03,0.14,-6.25,32.53,-2.80,54.6,-355.7,61.2,271.3,35.0,62.5
35017,0.03,1.32,0.07,-6.13,40.41,-2.72,79.3,-352.8,54.1,273.6,38.5,46.9
35117,0.23,0.82,-0.04,-4.40,53.62,-2.41,87.5,-358.5,64.8,275.6,36.8,46.9
35217,-0.21,1.00,-0.03,-2.06,64.72,-3.04,112.2,-347.2,82.6,278.1,36.2,62.5
35317,0.03,0.98,-0.08,0.32,75.31,-3.92,120.4,-364.1,204.0,280.1,38.0,46.9
35417,-0.11,1.09,0.15,-2.23,80.81,-5.36,136.9,-352.8,211.1,282.3,36.8,46.9
35517,-0.04,0.92,0.02,-7.19,82.92,-4.71,117.7,-338.8,186.1,283.7,41.1,46.9
35617,-0.11,0.99,-0.27,-14.95,88.10,-3.18,106.7,-364.1,246.8,284.2,41.9,46.9
35717,-0.24,1.06,-0.03,-13.79,91.91,-2.69,93.0,-344.4,268.2,284.4,41.3,31.2
35817,0.02,0.95,0.01,-13.07,93.79,-0.94,104.0,-347.2,261.1,284.9,41.9,46.9
35917,-0.05,0.91,0.03,-13.59,96.75,-0.82,82.0,-355.7,296.8,284.5,40.1,46.9
36017,-0.24,1.05,0.10,-15.53,98.00,0.21,51.9,-364.1,257.5,283.2,40.7,46.9
36117,-0.02,1.15,0.19,-18.84,94.67,2.11,21.7,-372.5,278.9,281.2,41.3,78.1
36217,0.33,0.89,-0.16,-21.00,96.19,7.75,-2.9,-381.0,289.6,278.9,43.0,218.8
36317,-0.15,0.97,-0.08,-21.84,95.26,6.59,-35.8,-383.8,289.6,276.1,42.1,15.6
36417,0.04,0.93,0.02,-20.64,97.89,7.81,-57.8,-383.8,296.8,273.1,40.4,15.6
36517,-0.04,1.05,0.14,-16.99,99.91,5.35,-46.8,-381.0,296.8,271.1,38.9,62.5
36617,-0.10,1.13,0.09,-13.20,96.44,6.12,-60.5,-395.1,286.0,269.1,40.3,218.8
36717,-0.05,1.15,-0.15,-14.46,92.88,8.43,-76.9,-369.7,289.6,267.0,41.2,15.6
36817,-0.02,0.86,-0.06,-15.84,93.11,8.05,-68.7,-395.1,264.6,265.6,41.8,46.9
36917,-0.15,1.02,0.03,-12.13,89.64,9.41,-90.7,-392.2,250.4,263.9,39.3,109.4
37017,-0.02,0.93,0.02,-11.60,84.66,7.64,-93.4,-400.7,250.4,262.5,41.6,93.8
37117,-0.15,0.99,0.05,-11.19,81.94,5.99,-104.4,-411.9,243.2,261.1,42.4,62.5
37217,-0.17,1.04,0.23,-11.53,76.56,1.84,-104.4,-403.5,175.4,260.0,43.6,62.5
37317,0.12,0.97,-0.16,-12.05,76.31,5.88,-98.9,-406.3,193.3,259.3,41.2,62.5
37417,-0.02,1.05,-0.10,-14.16,73.45,4.77,-104.4,-389.4,193.3,258.4,41.8,15.6
37517,-0.12,0.94,0.11,-10.75,72.09,8.90,-109.8,-383.8,143.3,257.5,39.8,62.5
37617,-0.02,0.96,-0.08,-12.40,70.62,8.14,-131.8,-395.1,182.6,256.3,40.4,218.8
37717,-0.12,1.08,0.08,-13.26,65.98,8.06,-126.3,-400.7,82.6,255.6,41.4,62.5
37817,-0.05,0.99,-0.12,-12.81,59.14,7.98,-140.0,-375.4,125.5,254.4,41.0,31.2
37917,-0.21,1.03,0.13,-12.43,56.87,5.36,-129.0,-383.8,93.4,253.8,40.6,62.5
38017,-0.17,1.06,0.03,-13.48,53.48,6.07,-118.1,-372.5,129.0,253.5,39.9,93.8
38117,-0.12,0.88,0.12,-11.58,48.80,5.97,-131.8,-375.4,100.5,252.9,40.3,31.2
38217,-0.16,0.99,0.14,-10.38,39.98,5.69,-129.0,-383.8,64.8,252.6,40.2,46.9
38317,-0.11,1.03,0.06,-11.36,29.76,5.48,-126.3,-392.2,89.8,252.5,46.6,31.2
38417,-0.03,0.95,0.44,-9.56,23.22,6.82,-131.8,-369.7,61.2,252.1,45.4,921.9
