timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,heading,db,frequency
15748,-0.11,0.93,0.20,1.61,43.01,21.04,270.4,-508.9,95.9,298.1,46.4,515.6
15847,-0.39,1.06,-0.04,3.23,33.58,4.83,280.7,-485.4,69.8,298.5,51.4,1515.6
15947,-0.21,1.12,0.22,12.92,27.50,0.89,275.5,-501.1,52.5,298.6,50.0,921.9
16047,-0.14,0.79,0.05,11.66,27.59,0.96,273.0,-495.9,95.9,298.6,44.3,109.4
16147,-0.13,0.86,0.19,10.96,32.45,5.10,267.8,-506.3,82.8,298.5,43.8,109.4
16247,-0.18,0.98,0.04,11.33,26.30,3.99,262.6,-503.7,65.5,298.3,44.2,109.4
16347,-0.24,1.03,0.02,5.58,25.19,4.08,273.0,-516.8,126.2,298.2,45.7,93.8
16447,-0.21,1.01,0.34,6.51,22.80,5.25,283.3,-511.5,121.9,298.4,46.6,109.4
16547,-0.18,1.14,0.23,6.56,20.19,5.28,285.9,-524.6,134.9,298.4,46.1,1859.4
16647,0.02,1.07,-0.29,8.14,26.86,6.24,288.5,-535.0,178.2,298.4,46.0,31.2
16747,0.03,0.84,0.21,-1.41,21.12,3.08,270.4,-519.4,130.5,298.2,44.9,109.4
16847,-0.03,0.81,-0.11,4.43,19.55,8.40,280.7,-508.9,143.6,298.3,44.9,1843.8
16947,-0.18,1.06,0.31,3.12,13.51,5.24,278.1,-527.2,195.6,298.2,44.6,31.2
17047,0.00,1.17,0.04,5.47,15.48,4.87,265.2,-514.1,186.9,298.0,44.5,31.2
17147,-0.14,1.14,0.23,-5.54,10.02,2.29,273.0,-527.2,199.9,297.9,47.1,46.9
17247,-0.05,0.98,-0.32,-12.07,4.52,2.70,267.8,-514.1,113.2,297.8,47.3,31.2
17347,0.08,0.71,0.14,-7.98,-2.28,4.56,260.0,-519.4,87.2,297.6,45.1,31.2
17447,-0.14,0.86,0.25,-6.76,-2.92,2.69,270.4,-508.9,121.9,297.7,44.9,468.8
17547,-0.10,1.04,0.17,-7.10,-4.12,0.75,280.7,-516.8,139.2,297.8,44.7,46.9
17647,-0.31,1.21,0.27,-12.02,-8.42,1.37,273.0,-493.3,108.9,298.1,45.5,31.2
17747,-0.06,1.11,-0.20,-10.13,-6.03,5.16,285.9,-488.1,87.2,298.5,44.3,31.2
17847,-0.11,0.77,0.27,-14.53,-11.47,1.84,280.7,-529.8,117.5,298.4,43.9,62.5
17947,-0.11,0.79,0.15,-6.49,-9.95,2.73,267.8,-508.9,156.6,298.3,45.0,500.0
