timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,heading,db,frequency
7872,0.05,1.04,0.24,-19.14,-25.93,8.15,91.6,-102.9,-50.0,321.5,47.2,562.5
7972,-0.05,1.05,0.10,-10.98,-21.48,2.22,99.2,-76.1,-105.6,321.7,51.5,3375.0
8071,-0.00,0.89,0.26,-0.31,-23.96,-2.66,111.9,-89.5,-97.0,321.6,51.4,921.9
8171,0.02,1.01,0.20,7.14,-29.71,-7.97,94.1,-89.5,-105.6,320.6,46.3,875.0
8271,-0.05,1.14,0.15,9.62,-21.34,-3.57,96.7,-86.8,-7.2,320.1,43.9,328.1
8371,-0.02,1.00,0.20,-1.15,-18.29,-3.20,104.3,-105.5,-45.7,319.0,46.4,109.4
8471,0.03,1.17,0.16,-3.14,-16.06,-4.36,117.0,-78.7,-54.2,320.4,44.7,625.0
8571,0.21,0.77,-0.06,2.40,-8.34,-4.17,147.5,-100.2,-32.9,321.5,42.3,1562.5
8671,0.14,0.98,0.24,8.48,0.98,-3.26,129.7,-86.8,-41.4,322.4,42.9,1421.9
8771,0.12,0.90,0.06,9.14,13.31,0.01,142.4,-121.6,-41.4,321.9,43.9,781.2
8871,0.08,0.97,0.21,6.67,18.85,-0.46,150.0,-100.2,18.5,322.7,46.4,1812.5
8971,-0.01,1.11,0.08,4.04,21.37,-0.49,162.8,-78.7,-11.5,325.0,46.0,906.2
9071,0.16,1.08,0.32,1.79,26.75,-1.17,160.2,-86.8,35.6,326.3,45.2,609.4
9171,0.02,1.07,-0.33,0.40,38.57,1.73,167.8,-92.1,-37.1,327.3,48.6,421.9
9271,0.09,0.91,0.09,-0.84,44.31,4.48,167.8,-68.0,5.6,329.4,45.7,1796.9
9371,0.12,0.94,-0.04,3.88,49.56,6.67,145.0,-94.8,22.7,328.9,45.1,46.9
9471,0.06,0.87,0.12,2.49,49.62,5.88,160.2,-89.5,35.6,329.3,46.1,1859.4
9571,-0.10,1.07,0.10,2.56,48.75,5.10,162.8,-102.9,52.7,329.0,45.4,1906.2
9671,0.04,1.05,0.32,-4.06,48.07,6.05,165.3,-84.1,82.6,329.8,48.4,46.9
9771,0.29,0.93,-0.08,-4.04,47.68,6.86,160.2,-81.4,86.9,330.4,47.3,31.2
9871,0.29,0.99,0.21,-0.50,47.65,8.98,160.2,-94.8,99.7,330.2,47.9,46.9
9971,0.10,0.98,-0.06,0.65,49.89,11.80,165.3,-89.5,151.0,330.5,47.1,46.9
10071,0.20,0.81,0.25,2.56,50.71,11.96,157.7,-105.5,133.9,329.6,48.2,46.9
10171,0.22,1.08,0.12,-0.27,45.03,6.59,139.9,-86.8,121.1,329.3,49.2,1640.6
10271,0.10,1.07,0.22,-1.35,43.73,4.14,165.3,-62.7,146.7,331.3,50.4,1796.9
10371,0.06,1.06,0.25,-2.27,41.41,2.99,167.8,-65.3,99.7,332.8,48.9,375.0
10471,0.12,0.86,-0.25,-2.42,43.27,6.20,152.6,-81.4,133.9,332.6,49.6,1562.5
