timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,heading,db,frequency
44168,-0.17,1.20,-0.35,-25.23,148.90,40.30,50.9,-219.9,-64.0,279.7,46.3,1625.0
44267,-0.07,0.96,0.29,-35.75,61.82,35.60,48.1,-208.5,-74.1,280.4,51.2,1109.4
44367,0.12,1.09,0.26,-37.61,28.16,22.66,67.9,-197.1,-74.1,282.1,45.2,906.2
44467,-0.05,1.06,0.03,-22.31,13.40,5.32,73.6,-199.9,-84.2,283.7,46.2,109.4
44567,0.08,0.83,0.24,-3.58,9.97,-0.74,45.3,-194.2,-134.8,283.6,40.7,109.4
44667,0.04,0.82,0.27,-3.57,5.26,2.37,33.9,-188.5,-111.2,282.9,42.3,1750.0
44767,0.21,0.84,0.21,-2.74,8.69,5.08,45.3,-199.9,-50.5,282.9,41.7,312.5
44867,0.07,1.04,0.20,-0.10,28.66,7.78,67.9,-225.6,-60.6,283.7,44.3,531.2
44967,0.07,1.13,0.29,2.33,42.80,9.22,70.7,-214.2,-74.1,284.6,43.3,203.1
45067,0.06,1.04,0.02,-1.17,45.31,8.86,104.7,-214.2,-40.4,286.9,43.8,93.8
45167,0.54,0.77,0.15,-1.15,42.30,6.59,104.7,-211.3,-43.8,288.8,41.3,437.5
45267,0.07,1.04,0.05,8.01,48.97,5.02,124.5,-214.2,0.0,291.0,42.3,46.9
45367,0.24,0.98,-0.07,11.05,57.34,6.16,118.8,-199.9,60.6,293.0,45.2,93.8
45467,0.12,1.06,-0.01,9.47,62.54,5.35,127.3,-211.3,10.1,294.6,45.9,218.8
45567,-0.04,1.04,0.03,10.77,68.15,10.18,113.2,-208.5,53.9,295.4,44.4,437.5
45667,0.03,1.01,0.20,4.35,71.33,7.52,121.6,-217.1,50.5,296.2,43.9,312.5
45767,0.19,0.93,-0.03,2.82,74.40,8.39,135.8,-231.3,84.2,297.0,44.1,1281.2
45867,0.03,0.91,0.14,0.20,75.11,7.59,121.6,-217.1,70.8,297.5,45.0,1984.4
45967,-0.02,1.03,0.21,1.92,76.23,8.11,110.3,-219.9,91.0,297.3,44.7,1500.0
46067,-0.03,1.06,0.20,-1.54,75.35,5.18,113.2,-217.1,107.8,297.3,44.9,125.0
46167,0.12,1.03,-0.03,-1.49,73.40,7.96,113.2,-217.1,114.6,297.4,43.6,62.5
46267,0.22,0.95,0.06,-3.91,71.28,7.16,99.0,-211.3,128.0,296.9,44.2,46.9
46367,0.27,0.93,0.09,-1.47,71.92,10.74,62.2,-208.5,171.8,294.9,45.1,46.9
46467,0.10,0.96,0.04,-0.53,75.56,9.91,73.6,-214.2,171.8,293.7,44.7,468.8
46567,0.01,1.11,0.14,-0.54,78.16,6.46,36.8,-219.9,195.4,290.8,45.3,359.4
46667,0.05,1.07,0.13,-2.16,77.11,8.67,19.8,-222.8,178.6,287.7,45.5,187.5
46767,0.15,0.96,-0.06,-7.10,76.90,10.16,-2.8,-234.2,205.5,284.0,47.0,484.4
46867,0.16,0.97,0.26,-4.67,78.67,12.88,-17.0,-234.2,181.9,280.4,46.4,1593.8
46967,0.24,0.93,0.10,-3.82,79.10,14.67,-53.8,-237.0,205.5,275.8,45.3,312.5
47067,0.13,0.90,0.13,1.48,81.46,16.11,-56.6,-219.9,161.7,271.7,44.0,437.5
47167,-0.04,0.97,0.24,0.56,82.78,14.41,-67.9,-217.1,138.1,267.9,44.3,156.2
47267,0.09,1.18,0.35,-1.42,81.35,13.85,-90.5,-231.3,141.5,264.0,44.6,156.2
47367,0.24,0.90,-0.01,-4.69,78.80,14.00,-116.0,-237.0,124.7,260.0,44.2,156.2
47467,0.45,0.86,0.09,-2.66,77.55,13.08,-124.5,-237.0,128.0,256.5,44.4,46.9
47567,0.04,1.00,0.03,1.07,80.86,17.36,-121.6,-228.5,97.7,253.6,44.6,156.2
47667,0.19,0.90,0.09,2.78,85.74,15.06,-149.9,-239.9,161.7,250.5,44.4,156.2
47767,0.08,1.14,0.11,5.44,85.71,14.71,-127.3,-234.2,33.7,248.7,44.0,156.2
47867,0.02,1.19,0.18,1.82,80.27,14.51,-147.1,-214.2,27.0,246.0,47.3,437.5
47967,0.28,0.87,0.04,1.53,79.60,13.00,-158.4,-219.9,30.3,243.7,49.8,125.0
48067,-0.03,1.08,0.07,2.21,77.07,13.98,-130.1,-214.2,3.4,242.7,50.1,62.5
48167,0.23,0.81,0.08,3.91,76.46,11.66,-133.0,-225.6,37.1,242.0,47.1,93.8
48267,0.08,1.02,0.16,4.38,77.16,10.37,-101.8,-234.2,-3.4,242.9,45.7,109.4
48367,0.00,0.91,0.36,2.52,75.14,8.69,-107.5,-225.6,-20.2,243.3,48.9,1562.5
48467,0.18,1.03,0.45,0.62,72.97,11.04,-87.7,-231.3,-67.4,244.4,51.4,187.5
48567,0.08,0.99,-0.16,-3.16,67.96,12.09,-90.5,-231.3,-43.8,245.3,47.6,46.9
48667,0.23,1.00,-0.05,-1.36,66.70,10.89,-62.2,-217.1,-37.1,247.0,46.9,62.5
48767,0.09,0.94,0.13,0.08,72.10,12.84,-42.4,-222.8,-77.5,249.5,47.1,359.4
48867,0.09,0.92,-0.05,3.40,79.00,12.01,-25.5,-242.8,-101.1,252.4,48.4,93.8
48967,0.07,0.97,0.17,3.19,78.10,10.44,8.5,-222.8,-107.8,256.3,46.0,156.2
49067,0.06,1.08,0.20,-4.33,75.41,9.18,31.1,-217.1,-107.8,260.7,47.8,390.6
49167,-0.01,1.15,0.25,-6.93,69.50,11.73,31.1,-208.5,-94.3,264.3,47.3,140.6
49267,0.03,1.01,-0.12,-11.00,66.09,17.41,17.0,-197.1,-107.8,266.4,49.4,140.6
49367,0.13,0.90,0.25,-6.63,68.16,15.33,22.6,-199.9,-114.6,268.4,47.7,1328.1
49467,0.23,0.93,0.05,-6.31,68.44,15.22,50.9,-199.9,-94.3,271.6,48.3,312.5
49567,0.08,0.95,0.10,-4.60,70.43,10.27,79.2,-205.6,-80.9,275.5,47.5,296.9
49667,-0.05,1.00,0.30,-5.16,67.94,14.66,93.4,-202.8,-84.2,279.3,49.0,46.9
49767,0.03,1.04,0.18,-7.26,61.32,10.36,116.0,-205.6,-87.6,283.3,49.6,218.8
49867,0.09,1.16,0.12,-9.37,57.12,11.97,104.7,-211.3,-70.8,285.9,48.9,343.8
49967,-0.02,0.90,0.14,-11.87,58.89,15.48,118.8,-191.4,-80.9,289.1,50.6,921.9
